1,191,F,109,0,1
2,492,F,103,0,1
3,864,M,108,0,1
4,966,F,95,0,1
5,990,M,100,0,1
6,1103,F,95,0,1
7,1146,M,98,0,1
8,1164,F,95,0,1
9,1170,F,86,1,1
10,1209,M,98,0,1
11,1211,F,94,1,1
12,1257,M,97,0,1
13,1376,F,96,0,1
14,1497,F,93,0,1
15,1626,F,93,0,1
16,1653,F,90,0,1
17,1674,F,88,0,1
18,1679,M,92,0,1
19,1741,M,91,1,1
20,1770,M,92,1,1
21,1888,F,91,0,1
22,1947,M,91,0,1
23,2013,M,91,0,1
24,2088,M,91,0,1
25,2126,M,91,1,1
26,2131,F,101,0,1
27,2183,M,90,1,1
28,2197,M,89,0,1
29,2223,M,88,1,1
30,2235,M,88,1,1
31,2240,M,89,1,1
32,2320,M,92,0,1
33,2367,M,94,1,1
34,2370,M,88,0,1
35,2371,M,89,1,1
36,2411,M,89,1,1
37,2426,M,88,1,1
38,2431,M,88,1,1
39,2572,F,86,0,1
40,2633,M,88,0,1
41,2654,M,86,1,1
42,2678,M,87,0,1
43,2691,M,87,0,1
44,2757,M,87,1,1
45,2770,M,93,0,1
46,2800,M,92,0,1
47,2803,M,93,0,1
48,2897,M,86,0,1
49,2956,M,86,0,1
50,2959,M,86,0,1
51,2975,M,86,1,1
52,2986,M,95,0,1
53,3070,M,94,0,1
54,3092,F,68,0,1
55,3110,M,92,0,1
56,3112,F,92,0,1
57,3170,M,87,1,1
58,3192,M,86,1,1
59,3205,M,86,0,1
60,3211,M,86,1,1
61,3241,F,86,1,1
62,3318,M,91,1,1
63,3352,M,93,1,1
64,3390,M,91,0,1
65,3478,M,84,0,1
66,3483,M,84,1,1
67,3522,M,86,0,1
68,3557,M,84,0,1
69,3625,M,84,1,1
70,3652,M,84,0,1
71,3664,M,82,1,1
72,3691,M,84,1,1
73,3742,F,84,0,1
74,3752,M,82,1,1
75,3755,M,84,1,1
76,3817,M,82,1,1
77,3829,F,84,0,1
78,3879,M,80,0,1
79,3893,M,80,1,1
80,3905,M,80,0,1
81,3917,M,81,0,1
82,3963,M,79,1,1
83,3989,M,82,0,1
84,4170,M,77,0,1
85,4180,M,78,1,1
86,4205,M,77,1,1
87,4293,M,81,0,1
88,4304,F,75,0,1
89,4408,M,102,0,1
90,4521,M,75,1,1
91,4636,M,75,1,1
92,4645,M,83,1,1
93,4649,M,80,1,1
94,4774,F,88,0,1
95,5071,M,85,1,1
96,5084,M,74,1,1
97,5102,M,92,0,1
98,5113,M,82,1,1
99,5266,M,75,1,1
100,5311,M,71,0,1
101,5313,M,83,0,1
102,5349,M,72,1,1
103,5790,M,85,0,1
104,5839,M,72,0,1
105,5992,M,71,0,1
106,6197,M,73,1,1
107,6229,M,73,0,1
108,6232,M,71,1,1
109,6862,M,75,1,1
110,7403,M,75,1,1
111,8605,M,69,1,1
112,8719,M,64,1,1
113,8738,M,66,1,1
114,9360,F,62,0,1
115,9427,F,64,0,1
116,9571,M,65,1,1
117,9867,F,63,0,1
118,10250,F,83,0,1
119,10434,M,88,0,1
120,10846,M,62,1,1
121,11533,M,61,0,1
122,11716,F,62,0,1
123,13747,M,91,1,1
124,14790,F,62,0,1
125,17405,F,56,0,1
126,17710,F,56,0,1
127,21684,F,49,0,1
128,23018,M,74,1,1
129,23206,M,48,1,1
130,23514,F,48,0,1
131,24443,F,58,1,1
132,24704,F,69,0,1
133,24871,F,47,0,1
134,25441,F,47,0,1
135,26575,F,63,0,1
136,26905,F,61,0,1
137,28877,F,66,0,1
138,30288,M,50,1,1
139,31604,F,73,0,1
140,31665,F,49,0,1
141,33247,F,75,0,1
142,37339,F,60,0,1
143,39032,F,45,1,1
144,40083,F,42,0,1
145,40731,F,57,1,1
146,41404,M,84,0,1
147,41447,M,82,1,1
148,41451,F,88,0,1
149,41516,M,77,0,1
150,41524,F,98,0,1
151,41581,M,103,0,1
152,41630,M,89,1,1
153,41650,M,88,1,1
154,41655,M,84,0,1
155,41770,M,88,1,1
156,41793,F,91,0,1
157,41869,M,93,1,1
158,41886,F,92,0,1
159,41891,M,90,0,1
160,41959,M,70,1,1
161,42088,F,93,0,1
162,42125,F,82,0,1
163,42230,F,75,0,1
164,42283,F,91,0,1
165,42452,F,65,0,1
166,42458,M,85,0,1
167,42469,M,87,1,1
168,42538,M,82,1,1
169,42840,F,73,0,1
170,43139,F,70,0,1
171,43436,M,79,1,1
172,43451,F,74,0,1
173,43685,F,58,0,1
174,43916,F,67,1,1
175,44240,F,67,1,1
176,44251,F,57,1,1
177,44599,F,72,0,1
178,45565,F,45,0,1
179,45959,F,77,0,1
180,46221,M,87,0,1
181,46222,M,84,0,1
182,46244,M,82,0,1
183,46264,M,81,0,1
184,46794,M,70,1,1
185,47516,M,59,0,1
186,47526,M,60,1,1
187,50713,F,66,0,1
188,50960,M,73,0,1
189,51438,F,50,0,1
190,51950,F,58,0,1
191,52256,F,74,0,1
192,52430,F,72,0,1
193,52925,M,82,0,1
194,53066,F,69,0,1
195,53123,F,75,0,1
196,53154,F,65,0,1
197,53648,F,70,0,1
198,54228,F,42,0,1
199,55053,F,85,1,1
200,55345,M,84,0,1
201,55527,M,90,1,1
202,55605,M,74,1,1
203,56534,F,40,1,1
204,57495,F,94,0,1
205,57597,F,88,1,1
206,58193,F,95,0,1
207,58221,F,97,0,1
208,58326,F,94,0,1
209,58330,F,93,0,1
210,58440,F,95,0,1
211,58465,F,95,0,1
212,58484,F,91,1,1
213,58532,M,95,0,1
214,58546,F,97,0,1
215,58658,F,91,0,1
216,58714,F,93,1,1
217,58723,F,93,1,1
218,58853,F,90,1,1
219,58892,F,89,0,1
220,58913,F,91,1,1
221,59034,F,89,0,1
222,59054,F,92,1,1
223,59139,M,91,0,1
224,59142,F,86,0,1
225,59248,F,92,0,1
226,59263,F,89,0,1
227,59326,F,90,1,1
228,59411,F,87,0,1
229,59619,F,88,0,1
230,59672,F,84,0,1
231,59867,F,83,0,1
232,59870,F,85,0,1
233,59933,F,83,1,1
234,59956,F,94,0,1
235,60259,F,94,0,1
236,60744,F,86,1,1
237,60839,F,87,0,1
238,60854,F,87,0,1
239,61083,F,88,0,1
240,61351,F,86,0,1
241,61543,F,80,0,1
242,61884,F,86,0,1
243,61922,F,91,0,1
244,61934,F,91,0,1
245,61996,M,84,0,1
246,62067,F,86,0,1
247,62199,F,87,1,1
248,62292,M,107,0,1
249,62500,F,95,1,1
250,62566,F,84,0,1
251,62622,F,81,1,1
252,62659,F,82,0,1
253,62901,F,87,0,1
254,62981,F,89,0,1
255,63037,F,49,1,1
256,63307,F,87,1,1
257,63396,F,94,0,1
258,64572,F,76,0,1
259,65268,F,80,0,1
260,65421,F,75,0,1
261,66193,F,81,0,1
262,66362,F,79,1,1
263,66459,M,83,0,1
264,66792,F,101,0,1
265,66946,F,75,0,1
266,66949,F,72,0,1
267,68119,F,71,1,1
268,68234,F,71,1,1
269,69013,F,74,0,1
270,69552,F,67,0,1
271,69561,F,88,1,1
272,70098,F,74,1,1
273,70183,F,70,1,1
274,71010,F,93,0,1
275,71440,F,85,1,1
276,72317,F,69,0,1
277,73209,F,70,1,1
278,73674,F,76,0,1
279,73945,F,93,1,1
280,74042,F,71,0,1
281,75168,F,55,0,1
282,76227,F,66,0,1
283,76724,M,69,0,1
284,77087,F,64,0,1
285,77131,F,36,0,1
286,77347,F,33,0,1
287,78902,M,70,0,1
288,79135,M,76,1,1
289,79162,F,65,0,1
290,79369,M,33,0,1
291,79629,F,64,0,1
292,80005,F,61,0,1
293,80059,F,73,1,1
294,80581,M,68,0,1
295,80589,F,91,0,1
296,81703,M,64,0,1
297,83280,F,63,0,1
298,83513,F,74,1,1
299,83560,F,64,1,1
300,84134,F,36,0,1
301,84892,F,64,0,1
302,84999,F,60,0,1
303,86748,M,64,1,1
304,87221,M,24,0,1
305,87928,F,51,0,1
306,89422,F,58,0,1
307,89704,F,57,0,1
308,92337,F,56,1,1
309,92581,M,27,1,1
310,92931,M,59,1,1
311,93029,M,75,1,1
312,94230,M,22,0,1
313,94386,M,61,0,1
314,94490,F,52,0,1
315,95079,F,25,0,1
316,95620,F,58,1,1
317,96180,F,68,0,1
318,98221,M,22,0,1
319,98690,F,62,1,1
320,101801,F,25,0,1
321,102678,M,22,0,1
322,103467,F,48,0,1
323,103677,M,53,0,1
324,104073,F,25,0,1
325,104109,M,24,0,1
326,109281,M,28,0,1
327,110897,M,72,1,1
328,113355,M,49,1,1
329,113640,M,70,1,1
330,116887,M,68,0,1
331,123936,M,82,0,1
332,124248,F,60,1,1
333,124844,F,37,0,1
334,128617,M,88,0,1
335,129006,M,71,1,1
336,130024,M,58,1,1
337,130765,F,94,0,1
338,130908,F,80,1,1
339,131022,F,75,1,1
340,131060,F,93,0,1
341,131164,F,90,0,1
342,131270,M,93,0,1
343,131290,F,99,1,1
344,131447,F,77,0,1
345,131487,F,84,0,1
346,131509,F,88,0,1
347,131520,F,97,0,1
348,131612,F,80,0,1
349,131738,M,93,0,1
350,131966,M,90,1,1
351,131972,M,91,1,1
352,131980,M,90,1,1
353,132071,F,78,0,1
354,132091,F,52,0,1
355,132196,M,92,1,1
356,132399,M,75,0,1
357,132496,M,84,1,1
358,132501,M,76,1,1
359,132906,M,77,0,1
360,132917,F,54,0,1
361,133012,M,79,0,1
362,133262,M,80,1,1
363,133382,M,76,0,1
364,133583,M,24,0,1
365,134284,M,88,1,1
366,134287,M,74,1,1
367,134440,M,73,0,1
368,134451,M,73,1,1
369,136383,M,77,1,1
370,137218,F,78,1,1
371,137567,F,77,0,1
372,138373,M,40,1,1
373,139577,M,78,1,1
374,141123,M,67,0,1
375,143470,F,72,0,1
376,144296,F,66,1,1
377,146186,M,61,1,1
378,150627,F,49,0,1
379,150782,M,21,0,1
380,152602,F,21,0,1
381,152607,M,69,0,1
382,155092,M,68,1,1
383,155313,M,77,1,1
384,155476,M,81,1,1
385,155576,M,71,1,1
386,156611,M,91,1,1
387,156708,M,79,1,1
388,157270,F,27,0,1
389,158228,F,81,0,1
390,158341,F,83,0,1
391,158439,F,77,0,1
392,158512,F,91,0,1
393,158689,M,71,1,1
394,158913,F,54,0,1
395,158945,F,68,1,1
396,160191,M,77,1,1
397,160508,M,63,1,1
398,161398,M,57,1,1
399,161571,F,75,0,1
400,162104,F,37,0,1
401,162472,M,88,1,1
402,162980,F,77,1,1
403,163307,M,48,0,1
404,200003067,F,48,0,1
405,200005176,F,64,0,1
406,200006546,M,64,0,1
407,200009672,M,74,0,1
408,200010391,F,73,1,1
409,200016281,F,49,0,1
410,200019471,M,35,0,1
411,200019903,M,83,0,1
412,200022007,M,18,0,1
413,200022301,M,69,1,1
414,200022837,F,39,0,1
415,200023716,F,48,0,1
416,200025609,F,45,1,1
417,200026442,M,59,0,1
418,200033041,F,74,0,1
419,200033262,M,72,0,1
420,200033458,M,48,1,1
421,200035204,M,70,1,1
422,200040311,M,80,1,1
423,200040789,F,35,0,1
424,200042398,M,74,1,1
425,200045098,M,64,1,1
426,200045929,M,79,1,1
427,200046105,F,67,0,1
428,200046346,F,89,0,1
429,200050724,M,53,0,1
430,200050917,M,41,0,1
431,200050988,M,48,0,1
432,200053745,F,40,0,1
433,200055951,F,95,0,1
434,200056132,F,29,0,1
435,200056639,F,23,1,1
436,200056712,M,65,0,1
437,200061874,F,72,1,1
438,200065633,M,82,1,1
439,200069552,M,64,0,1
440,200072092,M,88,0,1
441,200072281,M,37,0,1
442,200081708,F,72,0,1
443,200083534,F,37,1,1
444,200090084,M,19,0,1
445,200093799,F,37,1,1
446,200094302,M,64,1,1
447,200096883,F,75,0,1
448,200098831,M,77,1,1
449,200098956,M,65,1,1
450,200099150,F,35,0,1
451,200100144,F,63,1,1
452,200100275,M,67,1,1
453,200101768,F,88,1,1
454,200101772,F,66,0,1
455,200102367,F,75,0,1
456,200102479,F,67,1,1
457,200103191,F,81,0,1
458,200103374,F,87,0,1
459,200104444,M,87,1,1
460,200105819,F,91,1,1
461,200105934,F,82,0,1
462,200105950,F,76,0,1
463,200106838,M,79,1,1
464,200107079,F,93,0,1
465,200107358,F,70,0,1
466,200107579,F,106,1,1
467,200109412,F,34,1,1
468,200111054,F,66,1,1
469,200111339,F,72,1,1
470,200111462,F,82,0,1
471,200112575,F,82,0,1
472,200112952,F,71,1,1
473,200113828,F,80,0,1
474,200115038,F,45,0,1
475,200115814,M,89,0,1
476,200116210,F,92,0,1
477,200116211,F,89,0,1
478,200116319,M,88,1,1
479,200116703,F,69,0,1
480,200117024,F,66,0,1
481,200118940,F,90,1,1
482,200119015,M,68,1,1
483,200120287,M,91,1,1
484,200121456,M,39,0,1
485,200121949,M,71,0,1
486,200124081,F,74,0,1
487,200124207,F,71,0,1
488,200124949,F,81,0,1
489,200125047,F,87,0,1
490,200130802,M,9,0,1
491,200134728,M,77,1,1
492,200136824,F,77,0,1
493,200138171,M,80,1,1
494,200140628,F,49,0,1
495,200145941,F,65,1,1
496,200156727,F,8,0,1
497,200160091,M,60,0,1
498,200162046,F,7,0,1
499,200164392,F,87,0,1
500,200180222,M,7,0,1
501,200180919,F,42,0,1
502,200184289,M,7,0,1
503,200189566,F,89,0,1
504,200192373,M,42,0,1
505,200201531,M,76,1,1
506,200203128,F,82,1,1
507,200205931,M,81,0,1
508,200212828,M,6,0,1
509,200217540,F,6,0,1
510,200224125,F,43,1,1
511,200227304,F,60,0,1
512,200240011,M,83,1,1
513,200242420,F,85,0,1
514,200245345,M,35,0,1
515,200291770,F,69,0,1
516,200299833,M,86,0,1
517,200319613,M,83,1,1
518,200326883,M,79,1,1
519,200348320,M,75,0,1
520,200352635,F,70,0,1
521,200373054,M,43,1,1
522,200389159,F,3,0,1
523,200441395,F,75,0,1
524,200457225,F,77,1,1
525,200466716,M,3,0,1
526,200563066,M,78,1,1
527,200810734,F,4,0,1
528,201491105,F,37,0,1
